,R,CoreCPI,IP,Consumption,Unemp,Credit,Spread,IV_GK,IV_MAR
200001,6.12,0.34,456.121829845891,904.52770317385,4.01217429200025,700.606096776626,1.95,-0.0032258,0
200002,6.22,0.06,456.434819146784,905.464516664994,4.11214690851912,701.922509480414,2.12,0.0048275,-0.0038284
200003,6.22,0.33,457.057874121847,905.956399278787,4.02502211550613,702.875978678728,2.47,-0.0033724,-0.0235319
200004,6.15,0.17,457.677071146639,905.927326637682,3.83955278772128,703.871336348753,2.64,-0.0064452,0
200005,6.33,0.22,457.677071146639,906.299978407747,4.04388010225581,705.499355164682,2.81,0.0361292,0.0419426
200006,6.17,0.22,457.882621064849,906.514117448398,3.9630832240464,706.551942237923,2.82,0.0323699,0.000849
200007,6.08,0.22,457.882621064849,906.583469586645,4.03927522174897,707.133564495685,2.94,-0.013509,0
200008,6.18,0.22,457.264699428253,907.095185986726,4.10696492976129,707.458241481744,3.06,0.0016129,0.0153606
200009,6.13,0.22,457.779898919196,907.919470267786,3.94686986906917,707.61638305561,3.22,0.0033872,0
200010,6.01,0.16,457.367951889672,907.856743236652,3.88018678745215,708.032106932738,3.67,0.023387,0.0476565
200011,6.09,0.27,457.057874121847,907.947969552647,3.94440480687176,708.240582197174,3.77,0.0016129,0.0256687
200012,5.60,0.11,456.434819146784,908.405126202586,3.93303920473584,708.639506637347,3.79,-0.0020967,0.0398983
200101,4.81,0.33,456.017282005736,908.426681472081,4.1884561891516,709.444229328573,3.40,-0.1422579,-0.0600099
200102,4.68,0.27,455.387689160054,908.477714900084,4.2372704434903,709.493999144208,3.32,0.0193646,0
200103,4.30,0.16,455.176940926098,908.393779457387,4.26683527417248,709.293940138957,3.28,-0.0290322,-0.0739878
200104,3.98,0.22,454.754107315146,908.327942933902,4.367934581978,709.026848407705,3.20,-0.2063012,-0.3207542
200105,3.78,0.11,454.223038621422,908.7539769358,4.34418565707029,708.575919483156,2.99,-0.2864408,-0.0956462
200106,3.58,0.38,453.58201078533,908.818403737317,4.5229741135766,707.453163277396,3.09,-0.0532258,0.0370556
200107,3.62,0.21,453.152364581979,909.028350311938,4.58253859969092,706.691908634705,3.03,0.0650001,0
200108,3.47,0.16,452.720864451838,909.596153545336,4.91471483208174,705.939423564351,3.02,-0.0070968,0.0143411
200109,2.82,0.21,452.287494326126,908.314316170918,4.96010111883547,706.28854789229,3.53,-0.0129032,-0.0383557
200110,2.33,0.16,451.852237926242,910.85844630218,5.33986646863679,704.810835095359,3.43,-0.0387096,-0.0135036
200111,2.18,0.37,451.524547846011,910.500207829367,5.54839156960621,703.780938283962,2.98,-0.1179571,-0.0149955
200112,2.22,0.16,451.633897228148,910.385700393328,5.72260143446173,702.573385107558,2.89,-0.0436559,0.0347606
200201,2.16,0.16,452.396013056255,910.546862574001,5.68656477832684,701.618807036405,2.93,-0.0083871,-0.0039975
200202,2.23,0.21,452.396013056255,910.942551527194,5.67910793415968,702.059277224551,2.96,0.0187097,0
200203,2.57,0.05,453.044663979216,910.921531851594,5.74746852527322,701.549695742036,2.61,-0.0188708,-0.0564287
200204,2.48,0.26,453.367418428302,911.454507452132,5.94161340473312,700.359259255431,2.65,-0.026129,0
200205,2.35,0.16,453.796143629464,911.067472086236,5.79489160882584,699.32905670884,2.73,-0.016129,0.0159395
200206,2.20,0.11,454.754107315146,911.402768983427,5.79595049997238,698.617821399348,3.26,-0.0055377,0.0094673
200207,1.96,0.16,454.648118963941,912.063445889169,5.79407885195749,697.840011855147,4.06,-0.0083334,0
200208,1.76,0.31,454.754107315146,912.208822555042,5.72654111124137,697.422630662558,3.93,-0.0245161,-0.0491267
200209,1.72,0.10,454.85998344997,911.744627110112,5.66876442783335,696.837990079857,4.26,-0.0166504,-0.0177312
200210,1.65,0.10,454.542018158232,912.152008717159,5.71658615136876,696.554293924947,4.31,-0.0038333,0
200211,1.49,0.21,455.071400019203,912.436845456122,5.87420108796823,696.336972373723,3.75,-0.0708334,-0.0440101
200212,1.45,0.10,454.435804659133,913.089665154064,5.95590972384983,696.036670425335,3.65,-0.0070698,0.0249215
200301,1.36,0.16,455.176940926098,913.075589263334,5.83813563386941,695.216443194954,3.54,0.0058064,0.0267474
200302,1.30,0.05,455.071400019203,912.752382075325,5.89869952087611,694.312242281943,3.43,0.0270967,0
200303,1.24,0.00,455.176940926098,913.325412300188,5.88130555669694,693.894382043815,3.19,-0.0090322,-0.0025599
200304,1.27,0.00,454.435804659133,913.797395934999,6.0365662165299,693.652736407589,2.71,-0.0109677,0
200305,1.18,0.21,454.542018158232,914.118320127857,6.11399317406143,692.487784753886,2.80,-0.0335484,-0.0217468
200306,1.01,0.05,454.965747605783,914.652692124485,6.3010009792188,691.55051708422,2.53,0.0145483,0.1572287
200307,1.12,0.21,455.282370561588,915.10255170405,6.1514830870055,690.722513848249,2.43,0.0840001,0
200308,1.31,0.10,454.754107315146,915.98467577592,6.07463552869678,689.464977580366,2.38,0,0.0190831
200309,1.24,0.05,455.597994179732,915.692904667023,6.08817307036102,688.392354572879,2.42,0,-0.0389107
200310,1.25,0.15,455.807857845424,915.85416867423,5.95163445023038,687.007418001445,2.10,-0.0012903,0.0218075
200311,1.34,0.00,456.642935767166,916.426501936879,5.83401360544218,686.463898790851,2.00,-0.0087097,0
200312,1.31,0.10,456.538931597625,916.558356288339,5.66827280224087,685.601978157408,1.91,0.0037096,0.0208014
200401,1.24,0.21,456.434819146784,916.883064101943,5.70000408602443,684.285402539844,1.78,0.0019355,-0.0156932
200402,1.24,0.15,457.264699428253,917.086122543187,5.56680230933344,684.068555705703,1.92,0.004355,0
200403,1.19,0.31,457.161340245925,917.65457111392,5.77839176829268,683.500177373921,1.93,-0.0025806,-0.0122327
200404,1.43,0.20,457.574137529728,917.573857518611,5.56350017024174,683.199671458099,1.76,-0.0024195,0
200405,1.78,0.15,458.292457704077,918.099394718095,5.58392547513004,683.191041468881,1.91,-0.0045161,0.0131913
200406,2.12,0.20,457.574137529728,917.584209056859,5.61915095619151,683.880169243781,1.82,-0.0008171,-0.0278436
200407,2.10,0.10,458.496747867057,918.458144107046,5.50876147658641,684.87480984021,1.75,-0.0096667,0
200408,2.02,0.05,458.904080405821,918.827879517367,5.41459976688081,685.364750133391,1.87,0.0283799,0.0092934
200409,2.12,0.30,458.904080405821,919.471899107323,5.37733609198521,685.813426975652,1.76,0.0082767,0.0034653
200410,2.23,0.20,459.814557105113,919.707274497528,5.45425020129505,686.096760848326,1.75,-0.0066667,0
200411,2.50,0.20,459.814557105113,919.886477850116,5.3535994384525,687.001187407148,1.54,-0.0069931,0.0285606
200412,2.67,0.15,460.616968632117,920.538812984211,5.35867458242998,687.897507355541,1.47,-0.0059001,-0.0021003
